"Account Name","Opportunity Name","Fiscal Period","Next Step","Type","Deal Velocity","Monthly Deal Value (Gross Profit)","Age","Appraisal Start Date","Close Date","Opportunity Owner","Lead Source Category"
"Beam","Beam","Q4-2021","","Rapid Growth Brands - New Business","111.00","7678","111.0000000000","","10/27/2021","Jake Mehani","Channel Partner"
"Lalo Tequila","Lalo Tequila","Q4-2021","","Rapid Growth Brands - New Business","132.00","10209","132.0000000000","","10/13/2021","Jake Mehani","Channel Partner"
"Skechers","Sketchers","Q4-2021","","Rapid Growth Brands - New Business","142.00","1000","142.0000000000","","10/31/2021","Jake Mehani","Channel Partner"
"Naked Wolfe","Naked Wolfe","Q4-2021","","Rapid Growth Brands - New Business","15.00","1000","15.0000000000","9/22/2021 10:30 AM","10/1/2021","Jake Mehani","Inbound"
"Cambridge Satchel Company Ltd","Cambridge Satchel","Q4-2021","","Rapid Growth Brands - New Business","100.00","23000","100.0000000000","","10/27/2021","Jake Mehani","Outbound"
"21Seeds","21 Seeds Tequila - Influencer","Q4-2021","","Rapid Growth Brands - New Business","157.00","7500","157.0000000000","","10/4/2021","Jake Mehani","Outbound"
"SkinIntegra","SkinIntegra-","Q4-2021","","Rapid Growth Brands - New Business","7.00","1000","7.0000000000","","10/21/2021","Jenny Silva","Inbound"
"MyFitnessPal","MyFitnessPal (PR)","Q4-2021","","Brand Strategy - New Business","29.00","20000","29.0000000000","9/15/2021 12:52 PM","10/14/2021","Kira Tirshfield","Channel Partner"
"Reparté","Reparté","Q4-2021","","Brand Strategy - New Business","110.00","17417","110.0000000000","","10/31/2021","Kira Tirshfield","Channel Partner"
"noops, Inc.","Noops-","Q4-2021","","Brand Strategy - New Business","179.00","1000","179.0000000000","","10/31/2021","Kira Tirshfield","Channel Partner"
"Sylvia P","Sylvia P-","Q4-2021","","Brand Strategy - New Business","7.00","10000","7.0000000000","","10/14/2021","Kira Tirshfield","Inbound"
"Zero Acre Farms","Zero Acre Farms-","Q4-2021","","Brand Strategy - New Business","7.00","10000","7.0000000000","","10/14/2021","Kira Tirshfield","Inbound"
"August Uncommon Tea","August Uncommon Tea","Q4-2021","","Brand Strategy - New Business","9.00","1000","9.0000000000","","10/6/2021","Kira Tirshfield","Inbound"
"Rancho La Gloria","Rancho La Gloria","Q4-2021","","Brand Strategy - New Business","9.00","13671","9.0000000000","","10/13/2021","Kira Tirshfield","Inbound"
"Be Everything","Be Everything-","Q4-2021","","Brand Strategy - New Business","12.00","1000","12.0000000000","","10/6/2021","Kira Tirshfield","Inbound"
"Osmia Organics","Osmia Organics-","Q4-2021","","Brand Strategy - New Business","16.00","10000","16.0000000000","","10/14/2021","Kira Tirshfield","Inbound"
"Delic Corp","Delic Corp-","Q4-2021","","Brand Strategy - New Business","19.00","20000","19.0000000000","","10/19/2021","Kira Tirshfield","Inbound"
"Alkaline Herb Shop","Alkaline Herb Shop-","Q4-2021","","Brand Strategy - New Business","21.00","1000","21.0000000000","","10/6/2021","Kira Tirshfield","Inbound"
"MPL Brands","Rancho La Gloria","Q4-2021","","Brand Strategy - New Business","25.00","15000","25.0000000000","","10/31/2021","Kira Tirshfield","Inbound"
"Project Reef","Project Reef","Q4-2021","","Brand Strategy - New Business","35.00","10000","35.0000000000","9/29/2021 12:18 PM","10/29/2021","Kira Tirshfield","Inbound"
"Ritual Meals","Ritual Meals-","Q4-2021","","Brand Strategy - New Business","166.00","1000","166.0000000000","","10/31/2021","Kira Tirshfield","Inbound"
